Sigla,Codigo,Municipio,Numero de suicidios,Numero de suicidios do sexo feminino,Numero de suicidios de jovens de 15 a 29 anos,Numero de suicidios do sexo masculino,Taxa de suicidios(100.000 Habitantes),Taxa de suicidios do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens de 15 a 29 anos do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens(100.000 Habitantes),Taxa de suicidios do sexo masculino(100.000 Habitantes),Taxa de suicidios de jovens de 15 a 29 anos do sexo masculino(100.000 Habitantes),ano,IDHM (2000),IDHM (2010),IDHM Renda (2010),IDHM Longevidade (2010),IDHM Educacao (2010)
PB,2515401,Seridó,,,,,,,,,,,2003,476,628,598,770,537
PB,2515500,Serra Branca,,,,,,,,,,,2003,455,626,570,792,544
PB,2515609,Serra da Raiz,,,,,,,,,,,2003,391,586,549,745,491
PB,2515708,Serra Grande,,,,,,,,,,,2003,407,570,565,772,424
PB,2515807,Serra Redonda,,,,,,,,,,,2003,383,547,536,779,392
PB,2515906,Serraria,,,,,,,,,,,2003,434,621,554,769,561
PB,2515930,Sertãozinho,,,,,,,,,,,2003,409,573,525,753,477
PB,2515971,Sobrado,,,,,,,,,,,2003,428,595,592,762,468
PB,2516003,Solânea,,,,,,,,,,,2003,442,616,598,772,506
PB,2516102,Soledade,,,,,,,,,,,2003,393,573,531,769,460
PB,2516151,Sossêgo,,,,,,,,,,,2003,508,668,645,814,567
PB,2516201,Sousa,2,,,2,3.19,,,,6.64,,2003,469,627,602,765,534
PB,2516300,Sumé,1,,1,1,6.73,,,24.85,13.59,49.00,2003,379,551,513,726,450
PB,2516508,Taperoá,,,,,,,,,,,2003,416,578,564,749,456
PB,2516607,Tavares,,,,,,,,,,,2003,379,586,560,777,462
PB,2516706,Teixeira,3,1,1,2,25.65,16.60,,30.54,35.26,60.35,2003,427,605,566,741,527
PB,2516755,Tenório,,,,,,,,,,,2003,386,581,565,707,490
PB,2516805,Triunfo,,,,,,,,,,,2003,429,609,578,780,501
PB,2516904,Uiraúna,,,,,,,,,,,2003,485,636,612,797,528
PB,2517001,Umbuzeiro,,,,,,,,,,,2003,406,584,545,712,514
PB,2517100,Várzea,,,,,,,,,,,2003,555,707,619,800,714
PB,2517209,Vieirópolis,,,,,,,,,,,2003,378,571,537,762,455
PB,2505501,Vista Serrana,,,,,,,,,,,2003,440,566,554,773,424
PB,2517407,Zabelê,,,,,,,,,,,2003,484,623,567,725,587
PE,2600054,Abreu e Lima,2,,,2,2.16,,,,4.46,,2003,561,679,625,791,632
PE,2600104,Afogados da Ingazeira,,,,,,,,,,,2003,518,657,623,807,565
PE,2600203,Afrânio,,,,,,,,,,,2003,386,588,542,761,493
PE,2600302,Agrestina,,,,,,,,,,,2003,436,592,581,760,470
PE,2600401,Água Preta,,,,,,,,,,,2003,388,553,514,761,432
PE,2600500,Águas Belas,1,,1,1,2.77,,,10.49,5.69,20.64,2003,358,526,546,691,385
PE,2600609,Alagoinha,1,,,1,7.70,,,,15.49,,2003,457,599,569,801,472
PE,2600708,Aliança,2,,,2,5.39,,,,10.78,,2003,431,604,565,799,488
PE,2600807,Altinho,,,,,,,,,,,2003,444,598,559,792,482
PE,2600906,Amaraji,2,,2,2,9.21,,,30.51,18.09,58.74,2003,423,580,575,748,454
PE,2601003,Angelim,,,,,,,,,,,2003,434,572,555,751,448
PE,2601052,Araçoiaba,1,,,1,6.15,,,,12.27,,2003,429,592,544,765,498
PE,2601102,Araripina,1,,,1,1.35,,,,2.75,,2003,441,602,595,785,467
PE,2601201,Arcoverde,7,,5,7,11.04,,,28.50,23.43,59.56,2003,556,667,654,799,567
PE,2601300,Barra de Guabiraba,,,,,,,,,,,2003,371,577,558,726,474
PE,2601409,Barreiros,,,,,,,,,,,2003,471,586,561,730,491
PE,2601508,Belém de Maria,,,,,,,,,,,2003,404,578,537,749,479
PE,2601607,Belém de São Francisco,,,,,,,,,,,2003,482,642,611,784,553
PE,2601706,Belo Jardim,,,,,,,,,,,2003,477,629,617,783,514
PE,2601805,Betânia,1,,,1,8.83,,,,17.83,,2003,409,559,533,742,441
PE,2601904,Bezerros,,,,,,,,,,,2003,458,606,608,752,487
PE,2602001,Bodocó,,,,,,,,,,,2003,391,565,543,745,445
PE,2602100,Bom Conselho,4,3,1,1,9.44,13.61,17.02,8.67,4.92,,2003,400,563,585,704,433
PE,2602209,Bom Jardim,3,,,3,8.09,,,,16.56,,2003,442,602,552,767,515
PE,2602308,Bonito,4,1,2,3,10.36,5.17,,18.88,15.56,36.90,2003,414,561,559,754,420
PE,2602407,Brejão,,,,,,,,,,,2003,364,547,540,725,417
PE,2602506,Brejinho,,,,,,,,,,,2003,401,574,563,681,493
PE,2602605,Brejo da Madre de Deus,2,2,2,,4.97,9.85,35.82,17.94,,,2003,404,562,581,734,417
PE,2602704,Buenos Aires,,,,,,,,,,,2003,447,593,556,778,481
PE,2602803,Buíque,2,,,2,4.34,,,,8.80,,2003,377,527,497,746,395
PE,2602902,Cabo de Santo Agostinho,3,2,1,1,1.86,2.45,3.96,1.98,1.26,,2003,547,686,654,812,609
PE,2603009,Cabrobó,,,,,,,,,,,2003,466,623,581,773,539
PE,2603108,Cachoeirinha,,,,,,,,,,,2003,481,579,587,753,439
PE,2603207,Caetés,1,,1,1,3.97,,,15.17,8.14,30.57,2003,336,522,497,732,392
PE,2603306,Calçado,,,,,,,,,,,2003,410,566,529,731,468
PE,2603405,Calumbi,1,,,1,14.00,,,,28.89,,2003,410,571,567,715,460
PE,2603454,Camaragibe,3,1,,2,2.18,1.41,,,2.99,,2003,582,692,656,805,628
PE,2603504,Camocim de São Félix,1,,1,1,6.45,,,23.39,13.28,46.49,2003,445,588,585,738,472
PE,2603603,Camutanga,,,,,,,,,,,2003,466,606,570,760,514
PE,2603702,Canhotinho,,,,,,,,,,,2003,395,541,543,725,403
PE,2603801,Capoeiras,1,,,1,5.11,,,,10.21,,2003,406,549,529,746,419
PE,2603900,Carnaíba,1,1,,,5.73,11.34,,,,,2003,432,583,540,727,505
PE,2603926,Carnaubeira da Penha,1,,,1,9.84,,,,19.28,,2003,331,573,491,755,508
PE,2604007,Carpina,2,,,2,3.01,,,,6.25,,2003,562,680,630,806,619
PE,2604106,Caruaru,15,1,9,14,5.64,0.72,,11.80,11.10,24.70,2003,558,677,681,799,569
PE,2604155,Casinhas,1,,1,1,7.36,,,27.06,14.93,53.33,2003,417,567,518,721,489
PE,2604205,Catende,,,,,,,,,,,2003,467,609,578,760,515
PE,2604304,Cedro,,,,,,,,,,,2003,459,615,565,717,573
PE,2604403,Chã de Alegria,,,,,,,,,,,2003,447,604,546,762,529
PE,2604502,Chã Grande,,,,,,,,,,,2003,427,599,603,803,443
PE,2699939,Cimbres,,,,,,,,,,,2003,,,,,
PE,2604601,Condado,,,,,,,,,,,2003,476,602,581,713,527
PE,2604700,Correntes,,,,,,,,,,,2003,398,536,551,726,385
PE,2604809,Cortês,1,,,1,7.85,,,,15.94,,2003,402,568,541,707,478
PE,2604908,Cumaru,,,,,,,,,,,2003,379,572,553,720,470
PE,2605004,Cupira,2,1,1,1,8.89,8.49,31.87,16.23,9.34,,2003,442,592,601,763,453
PE,2605103,Custódia,1,1,,,3.30,6.45,,,,,2003,459,594,607,706,489
PE,2605152,Dormentes,2,,2,2,13.46,,,48.60,26.28,94.30,2003,403,589,558,741,495
PE,2605202,Escada,,,,,,,,,,,2003,479,632,594,781,543
PE,2605301,Exu,1,,,1,3.07,,,,6.19,,2003,412,576,543,775,454
PE,2605400,Feira Nova,,,,,,,,,,,2003,437,600,581,807,460
PE,2605459,Fernando de Noronha,,,,,,,,,,,2003,694,788,781,839,748
PE,2605509,Ferreiros,,,,,,,,,,,2003,450,622,589,787,519
PE,2605608,Flores,1,,,1,4.87,,,,9.89,,2003,420,556,544,745,423
PE,2605707,Floresta,4,3,4,1,15.48,22.64,80.36,54.38,7.95,27.60,2003,517,626,588,775,538
PE,2605806,Frei Miguelinho,,,,,,,,,,,2003,414,576,575,758,438
PE,2605905,Gameleira,1,,,1,3.95,,,,7.80,,2003,424,602,541,759,532
PE,2606002,Garanhuns,8,2,5,6,6.55,3.10,10.92,14.16,10.39,17.65,2003,533,664,662,795,556
PE,2606101,Glória do Goitá,,,,,,,,,,,2003,437,604,570,765,506
PE,2606200,Goiana,1,,,1,1.36,,,,2.77,,2003,511,651,614,779,576
PE,2606309,Granito,,,,,,,,,,,2003,408,595,543,773,502
PE,2606408,Gravatá,2,,,2,2.90,,,,5.98,,2003,496,634,630,794,510
PE,2606507,Iati,,,,,,,,,,,2003,334,528,518,768,369
PE,2606606,Ibimirim,,,,,,,,,,,2003,394,552,533,706,446
PE,2606705,Ibirajuba,,,,,,,,,,,2003,428,580,545,753,476
PE,2606804,Igarassu,4,,3,4,4.62,,,11.39,9.45,23.26,2003,536,665,622,781,606
PE,2606903,Iguaraci,1,,1,1,8.65,,,32.44,17.14,60.90,2003,443,598,580,770,480
PE,2607000,Inajá,1,1,1,,7.16,14.12,53.48,26.72,,,2003,404,523,503,711,400
PE,2607109,Ingazeira,,,,,,,,,,,2003,488,608,575,766,510
PE,2607208,Ipojuca,,,,,,,,,,,2003,457,619,613,774,499
PE,2607307,Ipubi,3,,1,3,12.71,,,15.17,25.81,30.17,2003,417,550,541,712,433
PE,2607406,Itacuruba,,,,,,,,,,,2003,510,595,567,712,523
PE,2607505,Itaíba,,,,,,,,,,,2003,347,510,531,688,364
PE,2607604,Itamaracá,3,,1,3,17.47,,,18.66,32.16,32.84,2003,569,653,627,809,548
PE,2607653,Itambé,2,1,,1,5.68,5.67,,,5.70,,2003,408,575,566,727,463
PE,2607703,Itapetim,,,,,,,,,,,2003,449,592,598,704,494
PE,2607752,Itapissuma,,,,,,,,,,,2003,507,633,589,764,564
PE,2607802,Itaquitinga,,,,,,,,,,,2003,429,586,554,715,509
PE,2607901,Jaboatão dos Guararapes,9,3,5,6,1.47,0.94,2.11,2.72,2.06,3.37,2003,625,717,692,830,642
PE,2607950,Jaqueira,,,,,,,,,,,2003,394,575,557,751,454
PE,2608008,Jataúba,,,,,,,,,,,2003,389,530,549,712,381
PE,2608057,Jatobá,1,1,,,7.27,14.25,,,,,2003,529,645,604,775,573
PE,2608107,João Alfredo,1,,,1,3.72,,,,7.64,,2003,427,576,569,720,466
PE,2608206,Joaquim Nabuco,,,,,,,,,,,2003,408,554,561,676,449
PE,2608255,Jucati,1,,,1,9.81,,,,19.71,,2003,373,550,541,681,451
PE,2608305,Jupi,,,,,,,,,,,2003,440,575,560,698,487
PE,2608404,Jurema,,,,,,,,,,,2003,353,509,522,681,372
PE,2608453,Lagoa do Carro,,,,,,,,,,,2003,493,609,566,789,505
PE,2608503,Lagoa do Itaenga,,,,,,,,,,,2003,413,602,555,774,509
PE,2608602,Lagoa do Ouro,1,,1,1,9.21,,,33.03,18.65,64.77,2003,377,525,536,733,369
PE,2608701,Lagoa dos Gatos,1,,,1,6.29,,,,12.64,,2003,391,551,555,725,416
PE,2608750,Lagoa Grande,,,,,,,,,,,2003,441,597,581,705,520
PE,2608800,Lajedo,3,1,,2,9.10,5.81,,,12.69,,2003,474,611,599,758,503
PE,2608909,Limoeiro,2,1,2,1,3.52,3.36,12.07,12.24,3.70,12.42,2003,539,663,628,797,583
PE,2609006,Macaparana,2,,,2,8.69,,,,17.87,,2003,454,609,571,778,508
PE,2609105,Machados,,,,,,,,,,,2003,418,578,541,767,466
PE,2609154,Manari,,,,,,,,,,,2003,295,487,477,682,354
PE,2609204,Maraial,1,,1,1,6.71,,,23.04,13.20,44.76,2003,347,534,541,698,403
PE,2609303,Mirandiba,,,,,,,,,,,2003,445,591,512,769,525
PE,2614303,Moreilândia,,,,,,,,,,,2003,440,600,522,768,540
PE,2609402,Moreno,,,,,,,,,,,2003,511,652,610,805,564
PE,2699919,Muribeca,,,,,,,,,,,2003,,,,,
PE,2609501,Nazaré da Mata,,,,,,,,,,,2003,522,662,608,789,604
PE,2699929,Nossa Senhora do Ó de Goyanna,,,,,,,,,,,2003,,,,,
PE,2609600,Olinda,8,2,4,6,2.13,1.00,3.51,3.62,3.41,3.75,2003,648,735,704,836,675
PE,2609709,Orobó,,,,,,,,,,,2003,441,610,545,787,528
PE,2609808,Orocó,1,,1,1,9.21,,,30.05,18.41,59.63,2003,474,610,536,766,553
PE,2609907,Ouricuri,9,3,6,6,15.55,10.31,25.37,37.43,20.85,49.10,2003,421,572,578,773,419
PE,2610004,Palmares,2,,1,2,3.62,,,6.32,7.52,12.92,2003,473,622,588,744,550
PE,2610103,Palmeirina,1,1,1,,10.09,19.94,76.22,37.17,,,2003,425,549,554,681,438
PE,2610202,Panelas,,,,,,,,,,,2003,402,569,546,778,433
PE,2610301,Paranatama,,,,,,,,,,,2003,360,537,528,703,418
PE,2610400,Parnamirim,1,,1,1,5.14,,,18.43,10.20,35.08,2003,429,599,556,776,499
PE,2610509,Passira,1,,,1,3.43,,,,6.97,,2003,439,592,559,763,487
PE,2610608,Paudalho,,,,,,,,,,,2003,471,639,612,782,545
PE,2610707,Paulista,4,1,2,3,1.44,0.69,2.38,2.43,2.26,2.49,2003,648,732,673,830,703
PE,2610806,Pedra,,,,,,,,,,,2003,418,567,550,743,445
PE,2610905,Pesqueira,3,1,2,2,5.19,3.34,12.96,12.97,7.18,12.99,2003,482,610,597,751,506
PE,2611002,Petrolândia,1,,1,1,3.44,,,11.61,7.00,23.10,2003,527,623,604,755,531
PE,2611101,Petrolina,12,5,5,7,5.09,4.14,5.23,6.77,6.08,8.42,2003,580,697,695,799,611
PE,2611200,Poção,,,,,,,,,,,2003,411,528,542,677,402
PE,2611309,Pombos,,,,,,,,,,,2003,446,598,584,790,463
PE,2611408,Primavera,,,,,,,,,,,2003,432,580,572,767,444
PE,2611507,Quipapá,,,,,,,,,,,2003,361,552,530,743,427
PE,2611533,Quixaba,,,,,,,,,,,2003,394,577,530,752,482
PE,2611606,Recife,85,30,32,55,5.82,3.84,5.48,7.58,8.09,9.85,2003,660,772,798,825,698
PE,2611705,Riacho das Almas,,,,,,,,,,,2003,426,570,586,757,418
PE,2611804,Ribeirão,,,,,,,,,,,2003,456,602,595,711,516
PE,2611903,Rio Formoso,,,,,,,,,,,2003,420,613,562,809,506
PE,2612000,Sairé,,,,,,,,,,,2003,389,585,581,784,440
PE,2612109,Salgadinho,,,,,,,,,,,2003,402,534,516,730,405
PE,2612208,Salgueiro,5,,2,5,9.45,,,12.73,19.55,25.84,2003,531,669,645,799,580
PE,2612307,Saloá,,,,,,,,,,,2003,417,559,559,744,421
PE,2612406,Sanharó,,,,,,,,,,,2003,460,603,564,758,514
PE,2612455,Santa Cruz,,,,,,,,,,,2003,341,549,522,722,438
PE,2612471,Santa Cruz da Baixa Verde,1,1,,,9.50,18.71,,,,,2003,474,612,557,786,523
PE,2612505,Santa Cruz do Capibaribe,2,,,2,3.06,,,,6.37,,2003,520,648,667,806,506
PE,2612554,Santa Filomena,1,,,1,7.86,,,,15.37,,2003,315,533,496,752,406
PE,2612604,Santa Maria da Boa Vista,1,1,1,,2.51,5.05,17.20,8.42,,,2003,468,590,564,773,472
PE,2612703,Santa Maria do Cambucá,,,,,,,,,,,2003,379,548,571,735,393
PE,2612802,Santa Terezinha,,,,,,,,,,,2003,432,593,540,737,524
PE,2612901,São Benedito do Sul,,,,,,,,,,,2003,356,530,499,736,406
PE,2613008,São Bento do Una,,,,,,,,,,,2003,437,593,593,789,446
PE,2613107,São Caitano,5,2,2,3,14.45,11.32,,21.09,17.71,41.76,2003,418,591,583,756,469
PE,2613206,São João,1,,,1,5.00,,,,10.07,,2003,398,570,565,768,426
PE,2613305,São Joaquim do Monte,1,,,1,4.85,,,,9.74,,2003,365,537,549,741,381
PE,2613404,São José da Coroa Grande,,,,,,,,,,,2003,474,608,585,736,522
PE,2613503,São José do Belmonte,2,,,2,6.28,,,,12.68,,2003,439,610,569,769,520
PE,2613602,São José do Egito,1,,1,1,3.37,,,12.86,6.92,25.56,2003,508,635,602,769,554
PE,2613701,São Lourenço da Mata,3,1,,2,3.27,2.14,,,4.45,,2003,530,653,614,793,571
PE,2613800,São Vicente Ferrer,,,,,,,,,,,2003,416,549,558,715,414
PE,2613909,Serra Talhada,2,,,2,2.84,,,,5.96,,2003,499,661,632,800,571
PE,2614006,Serrita,,,,,,,,,,,2003,410,595,542,760,512
PE,2614105,Sertânia,1,,,1,3.15,,,,6.47,,2003,485,613,601,752,510
PE,2614204,Sirinhaém,,,,,,,,,,,2003,436,597,568,763,492
PE,2614402,Solidão,,,,,,,,,,,2003,403,585,547,755,485
PE,2614501,Surubim,2,,,2,3.88,,,,8.08,,2003,494,635,617,756,548
PE,2614600,Tabira,1,,1,1,4.09,,,15.09,8.32,29.89,2003,475,605,570,770,504
PE,2614709,Tacaimbó,,,,,,,,,,,2003,397,554,536,748,423
PE,2614808,Tacaratu,,,,,,,,,,,2003,411,573,521,711,507
PE,2614857,Tamandaré,2,,,2,11.09,,,,21.67,,2003,402,593,583,745,479
PE,2615003,Taquaritinga do Norte,,,,,,,,,,,2003,480,641,636,796,520
PE,2615102,Terezinha,,,,,,,,,,,2003,352,545,536,711,425
PE,2615201,Terra Nova,,,,,,,,,,,2003,494,599,545,741,533
PE,2615300,Timbaúba,2,,1,2,3.52,,,6.14,7.25,12.44,2003,489,618,592,769,519
PE,2615409,Toritama,,,,,,,,,,,2003,481,618,655,797,452
PE,2615508,Tracunhaém,,,,,,,,,,,2003,444,605,567,776,504
PE,2615607,Trindade,3,2,1,1,13.10,17.19,31.20,15.63,8.88,,2003,462,595,602,768,455
PE,2615706,Triunfo,1,,,1,6.67,,,,13.98,,2003,552,670,624,817,591
PE,2615805,Tupanatinga,,,,,,,,,,,2003,343,519,494,747,379
PE,2615904,Tuparetama,,,,,,,,,,,2003,528,634,612,749,557
PE,2616001,Venturosa,1,,,1,7.20,,,,14.71,,2003,472,592,570,751,484
PE,2616100,Verdejante,,,,,,,,,,,2003,460,605,560,760,520
PE,2616183,Vertente do Lério,,,,,,,,,,,2003,382,563,532,726,461
PE,2616209,Vertentes,,,,,,,,,,,2003,452,582,602,728,450
PE,2616308,Vicência,1,,1,1,3.44,,,11.61,6.85,22.95,2003,455,605,551,754,534
PE,2616407,Vitória de Santo Antão,5,2,2,3,4.13,3.21,5.47,5.52,5.12,5.57,2003,519,640,629,768,543
PE,2616506,Xexéu,,,,,,,,,,,2003,365,552,549,703,436
PI,2200053,Acauã,2,,,2,36.93,,,,71.25,,2003,274,528,517,692,411
PI,2200103,Agricolândia,,,,,,,,,,,2003,447,599,550,742,526
PI,2200202,Água Branca,,,,,,,,,,,2003,506,639,600,763,569
PI,2200251,Alagoinha do Piauí,,,,,,,,,,,2003,368,531,535,716,391
PI,2200277,Alegrete do Piauí,,,,,,,,,,,2003,431,585,564,749,475
PI,2200301,Alto Longá,,,,,,,,,,,2003,367,585,567,751,470
PI,2200400,Altos,3,1,1,2,8.04,5.32,,9.27,10.81,18.59,2003,424,614,590,767,512
PI,2200459,Alvorada do Gurguéia,1,,1,1,23.72,,,82.30,45.00,149.93,2003,403,578,520,749,496
PI,2200509,Amarante,,,,,,,,,,,2003,460,598,574,750,497
PI,2200608,Angical do Piauí,2,1,1,1,28.60,27.96,,57.37,29.27,115.87,2003,476,630,610,737,555
PI,2200707,Anísio de Abreu,1,,,1,13.52,,,,26.39,,2003,425,594,534,768,512
PI,2200806,Antônio Almeida,,,,,,,,,,,2003,478,620,579,781,527
PI,2200905,Aroazes,,,,,,,,,,,2003,416,583,563,752,468
PI,2200954,Aroeiras de Itaim,,,,,,,,,,,2003,208,519,502,738,378
PI,2201002,Arraial,,,,,,,,,,,2003,412,560,514,761,449
PI,2201051,Assunção do Piauí,,,,,,,,,,,2003,341,499,462,706,382
PI,2201101,Avelino Lopes,,,,,,,,,,,2003,367,554,532,722,442
PI,2201150,Baixa Grande do Ribeiro,,,,,,,,,,,2003,349,564,537,751,446
PI,2201176,Barra D'Alcântara,,,,,,,,,,,2003,376,577,526,777,471
PI,2201200,Barras,2,1,2,1,4.79,4.85,17.32,16.75,4.73,16.21,2003,417,595,558,779,485
PI,2201309,Barreiras do Piauí,,,,,,,,,,,2003,413,557,560,730,423
PI,2201408,Barro Duro,,,,,,,,,,,2003,481,612,611,729,514
PI,2201507,Batalha,2,,,2,7.96,,,,15.64,,2003,377,545,540,755,398
PI,2201556,Bela Vista do Piauí,,,,,,,,,,,2003,301,576,520,709,519
PI,2201572,Belém do Piauí,,,,,,,,,,,2003,324,551,537,696,448
PI,2201606,Beneditinos,,,,,,,,,,,2003,392,557,561,780,394
PI,2201705,Bertolínia,,,,,,,,,,,2003,441,612,596,758,507
PI,2201739,Betânia do Piauí,1,,,1,10.90,,,,21.53,,2003,257,489,486,702,342
PI,2201770,Boa Hora,,,,,,,,,,,2003,351,575,534,772,460
PI,2201804,Bocaina,,,,,,,,,,,2003,483,632,614,773,532
PI,2201903,Bom Jesus,1,,1,1,6.08,,,19.71,12.37,40.02,2003,486,668,665,799,562
PI,2201919,Bom Princípio do Piauí,,,,,,,,,,,2003,345,532,526,770,372
PI,2201929,Bonfim do Piauí,,,,,,,,,,,2003,402,542,542,707,415
PI,2201945,Boqueirão do Piauí,,,,,,,,,,,2003,316,560,555,729,434
PI,2201960,Brasileira,,,,,,,,,,,2003,396,577,572,752,446
PI,2201988,Brejo do Piauí,,,,,,,,,,,2003,278,515,531,725,354
PI,2202000,Buriti dos Lopes,2,1,2,1,10.81,11.03,40.90,38.51,10.59,36.38,2003,382,565,544,735,452
PI,2202026,Buriti dos Montes,,,,,,,,,,,2003,368,574,527,780,460
PI,2202059,Cabeceiras do Piauí,,,,,,,,,,,2003,362,583,540,769,476
PI,2202075,Cajazeiras do Piauí,,,,,,,,,,,2003,333,562,525,752,449
PI,2202083,Cajueiro da Praia,,,,,,,,,,,2003,365,546,551,739,400
PI,2202091,Caldeirão Grande do Piauí,,,,,,,,,,,2003,333,588,561,744,486
PI,2202109,Campinas do Piauí,,,,,,,,,,,2003,371,544,524,776,397
PI,2202117,Campo Alegre do Fidalgo,,,,,,,,,,,2003,277,537,528,762,385
PI,2202133,Campo Grande do Piauí,,,,,,,,,,,2003,350,560,545,721,446
PI,2202174,Campo Largo do Piauí,,,,,,,,,,,2003,336,528,479,766,401
PI,2202208,Campo Maior,3,,1,3,7.07,,,7.89,14.54,16.13,2003,500,656,629,793,566
PI,2202251,Canavieira,,,,,,,,,,,2003,388,583,525,778,485
PI,2202307,Canto do Buriti,1,1,,,5.41,10.78,,,,,2003,426,576,571,724,462
PI,2202406,Capitão de Campos,1,,,1,10.00,,,,20.34,,2003,396,583,552,773,465
PI,2202455,Capitão Gervásio Oliveira,,,,,,,,,,,2003,288,553,503,725,464
PI,2202505,Caracol,,,,,,,,,,,2003,385,552,533,771,409
PI,2202539,Caraúbas do Piauí,,,,,,,,,,,2003,272,505,480,775,347
PI,2202554,Caridade do Piauí,,,,,,,,,,,2003,349,541,520,715,426
PI,2202604,Castelo do Piauí,,,,,,,,,,,2003,399,587,566,754,473
PI,2202653,Caxingó,,,,,,,,,,,2003,267,488,498,708,329
PI,2202703,Cocal,,,,,,,,,,,2003,319,497,516,712,334
PI,2202711,Cocal de Telha,,,,,,,,,,,2003,384,555,550,780,399
PI,2202729,Cocal dos Alves,,,,,,,,,,,2003,264,498,504,779,315
PI,2202737,Coivaras,,,,,,,,,,,2003,370,565,543,732,453
PI,2202752,Colônia do Gurguéia,,,,,,,,,,,2003,445,628,578,778,550
PI,2202778,Colônia do Piauí,,,,,,,,,,,2003,335,588,570,772,462
PI,2202802,Conceição do Canindé,1,,1,1,19.31,,,69.74,38.85,135.14,2003,390,589,559,759,482
PI,2202851,Coronel José Dias,,,,,,,,,,,2003,386,546,518,725,433
PI,2202901,Corrente,1,,,1,4.18,,,,8.23,,2003,474,642,620,789,540
PI,2203008,Cristalândia do Piauí,,,,,,,,,,,2003,416,573,521,770,469
PI,2203107,Cristino Castro,,,,,,,,,,,2003,460,566,586,713,434
PI,2203206,Curimatá,1,,1,1,10.03,,,36.19,19.52,67.75,2003,489,607,574,741,527
PI,2203230,Currais,,,,,,,,,,,2003,339,542,490,743,438
PI,2203271,Curral Novo do Piauí,,,,,,,,,,,2003,341,555,512,762,438
PI,2203255,Curralinhos,,,,,,,,,,,2003,350,527,506,685,422
PI,2203305,Demerval Lobão,1,,,1,7.63,,,,15.45,,2003,455,618,588,781,515
PI,2203354,Dirceu Arcoverde,1,,,1,16.50,,,,32.05,,2003,407,561,563,718,436
PI,2203404,Dom Expedito Lopes,,,,,,,,,,,2003,466,601,583,762,488
PI,2203453,Dom Inocêncio,,,,,,,,,,,2003,338,550,547,755,403
PI,2203420,Domingos Mourão,,,,,,,,,,,2003,279,549,498,756,439
PI,2203503,Elesbão Veloso,1,,1,1,6.67,,,23.68,13.63,47.76,2003,404,580,573,758,450
PI,2203602,Eliseu Martins,,,,,,,,,,,2003,449,595,616,742,462
PI,2203701,Esperantina,2,,,2,5.74,,,,11.51,,2003,420,605,579,769,497
PI,2203750,Fartura do Piauí,,,,,,,,,,,2003,370,548,506,738,441
PI,2203800,Flores do Piauí,1,,1,1,23.66,,,85.69,46.17,162.87,2003,353,547,525,704,443
PI,2203859,Floresta do Piauí,,,,,,,,,,,2003,295,538,530,753,391
PI,2203909,Floriano,,,,,,,,,,,2003,558,700,676,802,633
PI,2204006,Francinópolis,,,,,,,,,,,2003,393,564,523,722,475
PI,2204105,Francisco Ayres,,,,,,,,,,,2003,391,577,565,756,450
PI,2204154,Francisco Macedo,,,,,,,,,,,2003,356,553,567,701,425
PI,2204204,Francisco Santos,,,,,,,,,,,2003,438,608,598,754,498
PI,2204303,Fronteiras,1,,1,1,9.79,,,36.68,19.87,75.19,2003,421,619,621,748,511
PI,2204352,Geminiano,,,,,,,,,,,2003,322,561,524,755,446
PI,2204402,Gilbués,,,,,,,,,,,2003,411,548,574,753,380
PI,2204501,Guadalupe,3,,1,3,28.38,,,33.28,58.18,67.57,2003,495,650,639,794,542
PI,2204550,Guaribas,3,1,2,2,68.87,46.19,168.63,163.00,91.28,157.73,2003,214,508,483,711,381
PI,2204600,Hugo Napoleão,,,,,,,,,,,2003,405,599,528,776,524
PI,2204659,Ilha Grande,,,,,,,,,,,2003,405,563,534,708,472
PI,2204709,Inhuma,2,1,1,1,13.50,13.33,45.93,23.60,13.68,,2003,449,624,562,772,560
PI,2204808,Ipiranga do Piauí,,,,,,,,,,,2003,470,630,560,765,583
PI,2204907,Isaías Coelho,,,,,,,,,,,2003,360,582,628,767,410
PI,2205003,Itainópolis,,,,,,,,,,,2003,397,541,545,725,401
PI,2205102,Itaueira,1,,1,1,9.86,,,34.34,19.52,65.79,2003,444,583,594,727,460
PI,2205151,Jacobina do Piauí,,,,,,,,,,,2003,333,535,509,724,416
PI,2205201,Jaicós,3,1,1,2,18.24,11.88,,21.51,24.91,44.62,2003,385,524,556,709,366
PI,2205250,Jardim do Mulato,,,,,,,,,,,2003,427,593,532,711,550
PI,2205276,Jatobá do Piauí,,,,,,,,,,,2003,361,566,525,780,442
PI,2205300,Jerumenha,,,,,,,,,,,2003,448,591,569,787,461
PI,2205359,João Costa,1,,,1,32.35,,,,60.53,,2003,311,561,510,752,460
PI,2205409,Joaquim Pires,,,,,,,,,,,2003,364,522,485,765,384
PI,2205458,Joca Marques,1,,1,1,22.56,,,81.43,41.84,139.86,2003,307,504,501,726,353
PI,2205508,José de Freitas,1,1,1,,2.95,5.92,20.29,9.88,,,2003,402,618,591,781,512
PI,2205516,Juazeiro do Piauí,,,,,,,,,,,2003,329,570,522,753,470
PI,2205524,Júlio Borges,,,,,,,,,,,2003,382,582,500,777,508
