Sigla,Codigo,Municipio,Numero de suicidios,Numero de suicidios do sexo feminino,Numero de suicidios de jovens de 15 a 29 anos,Numero de suicidios do sexo masculino,Taxa de suicidios(100.000 Habitantes),Taxa de suicidios do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens de 15 a 29 anos do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens(100.000 Habitantes),Taxa de suicidios do sexo masculino(100.000 Habitantes),Taxa de suicidios de jovens de 15 a 29 anos do sexo masculino(100.000 Habitantes),ano,IDHM (2000),IDHM (2010),IDHM Renda (2010),IDHM Longevidade (2010),IDHM Educacao (2010)
AL,2704906,Mar Vermelho,,,,,,,,,,,2001,419,574,556,766,443
AL,2704500,Maragogi,1,,1,1,4.45,,,14.67,8.74,28.52,2001,343,569,539,742,460
AL,2704609,Maravilha,1,,1,1,7.16,,,26.97,14.36,54.20,2001,463,642,641,793,520
AL,2704708,Marechal Deodoro,,,,,,,,,,,2001,452,597,581,751,487
AL,2704807,Maribondo,,,,,,,,,,,2001,412,577,540,766,465
AL,2705002,Mata Grande,,,,,,,,,,,2001,356,504,506,685,369
AL,2705101,Matriz de Camaragibe,,,,,,,,,,,2001,394,584,541,777,473
AL,2705200,Messias,,,,,,,,,,,2001,379,568,557,714,460
AL,2705309,Minador do Negrão,,,,,,,,,,,2001,384,563,541,767,430
AL,2705408,Monteirópolis,,,,,,,,,,,2001,380,539,497,710,443
AL,2705507,Murici,,,,,,,,,,,2001,391,527,542,685,395
AL,2705606,Novo Lino,,,,,,,,,,,2001,355,521,546,690,375
AL,2705705,Olho d'Água das Flores,2,,2,2,10.07,,,36.00,21.02,74.38,2001,405,565,568,752,422
AL,2705804,Olho d'Água do Casado,,,,,,,,,,,2001,362,525,527,785,350
AL,2705903,Olho d'Água Grande,,,,,,,,,,,2001,368,503,473,673,399
AL,2706000,Olivença,,,,,,,,,,,2001,301,493,513,677,345
AL,2706109,Ouro Branco,1,,,1,9.83,,,,19.49,,2001,396,547,538,700,434
AL,2706208,Palestina,,,,,,,,,,,2001,402,558,505,735,467
AL,2706307,Palmeira dos Índios,3,1,1,2,4.39,2.82,10.00,5.15,6.09,,2001,482,638,625,794,523
AL,2706406,Pão de Açúcar,2,,,2,8.11,,,,16.51,,2001,434,593,536,793,491
AL,2706422,Pariconha,,,,,,,,,,,2001,350,548,526,754,416
AL,2706448,Paripueira,,,,,,,,,,,2001,423,605,595,767,486
AL,2706505,Passo de Camaragibe,,,,,,,,,,,2001,382,533,513,703,421
AL,2706604,Paulo Jacinto,,,,,,,,,,,2001,420,589,551,732,507
AL,2706703,Penedo,4,1,3,3,6.95,3.40,11.95,17.95,10.65,23.95,2001,495,630,602,774,536
AL,2706802,Piaçabuçu,,,,,,,,,,,2001,417,572,538,727,479
AL,2706901,Pilar,,,,,,,,,,,2001,418,610,578,771,509
AL,2707008,Pindoba,1,1,1,,35.32,72.15,250.00,121.95,,,2001,355,574,579,703,465
AL,2707107,Piranhas,,,,,,,,,,,2001,432,589,563,786,462
AL,2707206,Poço das Trincheiras,,,,,,,,,,,2001,313,526,484,719,419
AL,2707305,Porto Calvo,1,,1,1,4.16,,,13.82,8.21,26.93,2001,423,586,558,723,498
AL,2707404,Porto de Pedras,,,,,,,,,,,2001,344,541,542,769,379
AL,2707503,Porto Real do Colégio,,,,,,,,,,,2001,378,551,513,758,431
AL,2707602,Quebrangulo,1,,,1,8.37,,,,16.77,,2001,384,559,536,775,421
AL,2707701,Rio Largo,,,,,,,,,,,2001,505,643,616,788,547
AL,2707800,Roteiro,,,,,,,,,,,2001,339,505,524,672,365
AL,2707909,Santa Luzia do Norte,,,,,,,,,,,2001,434,597,580,770,477
AL,2708006,Santana do Ipanema,,,,,,,,,,,2001,425,591,579,770,463
AL,2708105,Santana do Mundaú,,,,,,,,,,,2001,356,519,513,752,362
AL,2708204,São Brás,,,,,,,,,,,2001,436,572,533,732,480
AL,2708303,São José da Laje,,,,,,,,,,,2001,402,573,574,755,434
AL,2708402,São José da Tapera,,,,,,,,,,,2001,319,527,508,703,409
AL,2708501,São Luís do Quitunde,,,,,,,,,,,2001,396,536,550,701,400
AL,2708600,São Miguel dos Campos,2,1,,1,4.65,4.60,,,4.71,,2001,506,623,612,770,514
AL,2708709,São Miguel dos Milagres,,,,,,,,,,,2001,444,591,545,752,504
AL,2708808,São Sebastião,,,,,,,,,,,2001,351,549,537,714,432
AL,2708907,Satuba,2,,1,2,15.42,,,25.67,31.42,52.30,2001,543,660,619,794,585
AL,2708956,Senador Rui Palmeira,,,,,,,,,,,2001,299,518,481,728,398
AL,2709004,Tanque d'Arca,,,,,,,,,,,2001,395,555,531,748,430
AL,2709103,Taquarana,1,,,1,5.86,,,,11.93,,2001,375,541,529,710,421
AL,2709152,Teotônio Vilela,,,,,,,,,,,2001,398,564,549,700,466
AL,2709202,Traipu,,,,,,,,,,,2001,320,532,499,765,395
AL,2709301,União dos Palmares,2,1,,1,3.40,3.34,,,3.47,,2001,406,593,590,764,462
AL,2709400,Viçosa,,,,,,,,,,,2001,415,586,554,758,478
AM,1300029,Alvarães,,,,,,,,,,,2001,373,527,499,778,377
AM,1300060,Amaturá,,,,,,,,,,,2001,413,560,499,773,455
AM,1300086,Anamã,,,,,,,,,,,2001,408,594,537,741,526
AM,1300102,Anori,,,,,,,,,,,2001,428,561,540,757,433
AM,1300144,Apuí,,,,,,,,,,,2001,437,637,621,772,540
AM,1300201,Atalaia do Norte,,,,,,,,,,,2001,348,450,481,733,259
AM,1300300,Autazes,2,,2,2,7.94,,,29.31,14.99,56.01,2001,420,577,539,799,446
AM,1300409,Barcelos,,,,,,,,,,,2001,384,500,545,728,315
AM,1300508,Barreirinha,,,,,,,,,,,2001,399,574,469,774,522
AM,1300607,Benjamin Constant,,,,,,,,,,,2001,389,574,526,763,471
AM,1300631,Beruri,,,,,,,,,,,2001,340,506,512,731,346
AM,1300680,Boa Vista do Ramos,,,,,,,,,,,2001,372,565,496,750,484
AM,1300706,Boca do Acre,3,,3,3,11.03,,,36.78,21.12,69.95,2001,401,588,576,777,455
AM,1300805,Borba,1,1,1,,3.33,6.93,25.48,12.21,,,2001,389,560,532,776,425
AM,1300839,Caapiranga,,,,,,,,,,,2001,403,569,544,775,436
AM,1300904,Canutama,,,,,,,,,,,2001,380,530,522,752,379
AM,1301001,Carauari,,,,,,,,,,,2001,344,549,534,745,416
AM,1301100,Careiro,,,,,,,,,,,2001,337,557,515,779,431
AM,1301159,Careiro da Várzea,,,,,,,,,,,2001,387,568,523,779,450
AM,1301209,Coari,,,,,,,,,,,2001,389,586,606,780,425
AM,1301308,Codajás,,,,,,,,,,,2001,440,563,546,775,421
AM,1301407,Eirunepé,,,,,,,,,,,2001,409,563,548,756,431
AM,1301506,Envira,,,,,,,,,,,2001,346,509,521,727,349
AM,1301605,Fonte Boa,,,,,,,,,,,2001,320,530,518,719,400
AM,1301654,Guajará,,,,,,,,,,,2001,381,532,510,762,387
AM,1301704,Humaitá,,,,,,,,,,,2001,475,605,621,791,451
AM,1301803,Ipixuna,,,,,,,,,,,2001,318,481,476,772,302
AM,1301852,Iranduba,1,,,1,2.95,,,,5.70,,2001,437,613,607,799,476
AM,1301902,Itacoatiara,2,,,2,2.73,,,,5.30,,2001,491,644,618,811,534
AM,1301951,Itamarati,,,,,,,,,,,2001,331,477,529,772,266
AM,1302009,Itapiranga,,,,,,,,,,,2001,478,654,594,792,594
AM,1302108,Japurá,,,,,,,,,,,2001,304,522,552,748,345
AM,1302207,Juruá,,,,,,,,,,,2001,362,522,538,704,376
AM,1302306,Jutaí,,,,,,,,,,,2001,304,516,528,766,340
AM,1302405,Lábrea,,,,,,,,,,,2001,386,531,538,744,374
AM,1302504,Manacapuru,,,,,,,,,,,2001,437,614,604,795,481
AM,1302553,Manaquiri,,,,,,,,,,,2001,429,596,556,748,510
AM,1302603,Manaus,67,14,37,53,4.61,1.88,3.67,7.84,7.49,12.36,2001,601,737,738,826,658
AM,1302702,Manicoré,,,,,,,,,,,2001,398,582,580,747,456
AM,1302801,Maraã,,,,,,,,,,,2001,291,498,466,763,348
AM,1302900,Maués,,,,,,,,,,,2001,454,588,549,800,464
AM,1303007,Nhamundá,,,,,,,,,,,2001,441,586,513,779,503
AM,1303106,Nova Olinda do Norte,,,,,,,,,,,2001,373,558,541,780,412
AM,1303205,Novo Airão,1,,1,1,10.97,,,39.03,21.34,77.04,2001,428,570,551,776,434
AM,1303304,Novo Aripuanã,,,,,,,,,,,2001,387,554,532,759,421
AM,1303403,Parintins,7,,4,7,7.46,,,14.92,14.56,29.27,2001,488,658,589,800,605
AM,1303502,Pauini,,,,,,,,,,,2001,287,496,531,724,317
AM,1303536,Presidente Figueiredo,,,,,,,,,,,2001,537,647,627,802,538
AM,1303569,Rio Preto da Eva,,,,,,,,,,,2001,434,611,590,785,493
AM,1303601,Santa Isabel do Rio Negro,2,1,1,1,20.10,21.25,,36.11,19.07,67.89,2001,384,479,461,737,323
AM,1303700,Santo Antônio do Içá,,,,,,,,,,,2001,306,490,438,759,353
AM,1303809,São Gabriel da Cachoeira,4,,2,4,12.99,,,22.57,25.18,43.44,2001,478,609,610,777,476
AM,1303908,São Paulo de Olivença,,,,,,,,,,,2001,324,521,471,780,386
AM,1303957,São Sebastião do Uatumã,,,,,,,,,,,2001,428,577,561,739,464
AM,1304005,Silves,,,,,,,,,,,2001,486,632,546,791,584
AM,1304062,Tabatinga,4,2,3,2,10.28,10.46,34.83,25.95,10.10,17.18,2001,470,616,602,769,505
AM,1304104,Tapauá,,,,,,,,,,,2001,293,502,512,694,355
AM,1304203,Tefé,,,,,,,,,,,2001,438,639,637,801,511
AM,1304237,Tonantins,,,,,,,,,,,2001,327,548,508,779,416
AM,1304260,Uarini,,,,,,,,,,,2001,358,527,535,724,378
AM,1304302,Urucará,,,,,,,,,,,2001,487,620,551,754,575
AM,1304401,Urucurituba,,,,,,,,,,,2001,427,588,538,776,487
AP,1600105,Amapá,,,,,,,,,,,2001,498,642,631,790,532
AP,1600204,Calçoene,,,,,,,,,,,2001,488,643,636,759,550
AP,1600212,Cutias,1,1,1,,28.75,60.10,213.22,100.20,,,2001,444,628,576,760,566
AP,1600238,Ferreira Gomes,,,,,,,,,,,2001,537,656,635,820,542
AP,1600253,Itaubal,,,,,,,,,,,2001,415,576,528,758,477
AP,1600279,Laranjal do Jari,,,,,,,,,,,2001,481,665,641,801,573
AP,1600303,Macapá,23,3,15,20,7.77,2.00,4.05,15.80,13.74,28.54,2001,622,733,723,820,663
AP,1600402,Mazagão,,,,,,,,,,,2001,434,592,609,758,449
AP,1600501,Oiapoque,,,,,,,,,,,2001,537,658,693,779,527
AP,1600154,Pedra Branca do Amaparí,,,,,,,,,,,2001,442,626,628,779,502
AP,1600535,Porto Grande,3,,2,3,25.54,,,58.24,46.99,109.23,2001,520,640,610,777,554
AP,1600550,Pracuúba,,,,,,,,,,,2001,440,614,539,790,544
AP,1600600,Santana,3,,3,3,3.55,,,11.41,7.07,23.36,2001,562,692,654,794,638
AP,1600055,Serra do Navio,,,,,,,,,,,2001,569,709,659,783,692
AP,1600709,Tartarugalzinho,,,,,,,,,,,2001,450,592,553,794,473
AP,1600808,Vitória do Jari,,,,,,,,,,,2001,459,619,587,781,517
BA,2900108,Abaíra,1,,,1,10.97,,,,22.09,,2001,495,603,577,746,510
BA,2900207,Abaré,,,,,,,,,,,2001,422,575,533,776,460
BA,2900306,Acajutiba,,,,,,,,,,,2001,422,582,560,723,487
BA,2900355,Adustina,1,,1,1,6.91,,,25.43,13.62,49.29,2001,347,546,526,718,432
BA,2900405,Água Fria,,,,,,,,,,,2001,382,550,529,747,422
BA,2900603,Aiquara,,,,,,,,,,,2001,436,583,573,733,471
